Name,Category,Latitude,Longitude,Victims
Sunnybrook.,Area Unit,-38.147903423,176.214946263,50
Sunnybrae.,Area Unit,-36.790855758,174.739831853,137
Sumner.,Area Unit,-43.585695349,172.778226382,106
Sulphur Point.,Area Unit,-37.668451109,176.168091762,158
Styx.,Area Unit,-43.427414663,172.681873065,114
Styx Mill.,Area Unit,-43.476917624,172.612170125,144
Sturges North.,Area Unit,-36.874472176,174.607494158,197
Stuart St-Frederick St.,Area Unit,-45.870708765,170.510412501,316
Struan Park.,Area Unit,-39.075239988,174.076717759,147
Strowan.,Area Unit,-43.509201607,172.608336920,145
Strathmore.,Area Unit,-38.234289042,175.865691873,79
Strathmore Park.,Area Unit,-41.330223168,174.823087081,105
Strathern.,Area Unit,-46.429643870,168.367843933,146
Strath Taieri.,Area Unit,-45.741331532,170.044109230,5
Stratford West.,Area Unit,-39.338863807,174.276192218,179
Stratford East.,Area Unit,-39.337374616,174.292202435,103
Stoney Creek.,Area Unit,-40.297250727,175.672095248,22
Stonefields.,Area Unit,-36.888354813,174.840613064,82
Stirling.,Area Unit,-46.246980085,169.780260322,3
Stillwater.,Area Unit,-36.636886613,174.716984389,6
Stewart Island.,Area Unit,-47.024631860,167.886379903,6
Starling Park.,Area Unit,-36.857655895,174.608811653,97
Stanmore Bay West.,Area Unit,-36.623716176,174.729092224,30
Stanmore Bay East.,Area Unit,-36.627142113,174.741172875,66
Stanley Park.,Area Unit,-38.221276771,175.863632130,85
Stanley Bay.,Area Unit,-36.827201570,174.780768477,18
St Marys.,Area Unit,-36.840999608,174.746720176,105
St Martins.,Area Unit,-43.560407875,172.653152279,152
St Lukes.,Area Unit,-36.875441829,174.731317934,305
St Lukes North.,Area Unit,-36.870377374,174.729712573,35
St Leonards.,Area Unit,-39.633921967,176.833921665,784
St Leonards-Blanket Bay.,Area Unit,-45.836529665,170.579913575,1
St Kilda West.,Area Unit,-45.907436611,170.494332740,25
St Kilda East.,Area Unit,-45.904436165,170.514903478,46
St Kilda Central.,Area Unit,-45.906198168,170.505977354,35
St Johns.,Area Unit,-36.876109232,174.846272025,102
St Johns Hill.,Area Unit,-39.914408634,175.037028321,23
St Heliers.,Area Unit,-36.849456965,174.860818407,174
St Clair.,Area Unit,-45.912247575,170.479203676,68
St Andrews.,Area Unit,-44.529816684,171.186202361,2
